"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.03.2021","75,6987","75,8512","75,8783","75,2353","","-0,20%"
"30.03.2021","75,8495","75,4640","76,1723","75,4606","","0,24%"
"29.03.2021","75,6648","75,7698","76,0998","75,5728","","0,00%"
"26.03.2021","75,6633","75,8623","76,1875","75,6101","","-0,69%"
"25.03.2021","76,1870","76,3019","76,5839","75,7438","","-0,51%"
"24.03.2021","76,5795","76,6242","76,6440","75,7161","","0,26%"
"23.03.2021","76,3799","75,2078","76,3965","75,1212","","1,94%"
"22.03.2021","74,9227","74,3970","75,0791","74,3418","","1,08%"
"19.03.2021","74,1213","74,4060","74,4342","73,7650","","-0,26%"
"18.03.2021","74,3129","73,6095","74,3989","73,4488","","0,93%"
"17.03.2021","73,6311","73,0552","74,1925","72,9935","","1,04%"
"16.03.2021","72,8728","72,9298","73,0556","72,5404","","0,08%"
"15.03.2021","72,8170","73,4262","73,4406","72,8170","","-0,70%"
"12.03.2021","73,3335","73,5659","73,7261","73,2348","","0,04%"
"11.03.2021","73,3037","73,6618","73,8572","73,1935","","-0,41%"
"10.03.2021","73,6031","74,0919","74,1268","73,6005","","-0,41%"
"09.03.2021","73,9083","74,2287","74,5191","73,7870","","-0,43%"
"05.03.2021","74,2287","74,7030","74,7585","74,1230","","-0,63%"
"04.03.2021","74,7030","73,8005","74,9435","73,3583","","0,98%"
"03.03.2021","73,9755","73,9228","74,0529","73,4099","","0,22%"
"02.03.2021","73,8165","74,4741","74,7195","73,6246","","-0,48%"
"01.03.2021","74,1739","74,6196","74,6300","73,9062","","-0,60%"
"26.02.2021","74,6196","74,7301","74,9156","74,2633","","-0,15%"
"25.02.2021","74,7301","73,5305","74,8223","73,3677","","1,63%"
"24.02.2021","73,5305","74,3130","74,3130","73,4157","","-1,05%"
"22.02.2021","74,3130","74,0500","75,0445","74,0500","","0,35%"
"20.02.2021","74,0545","74,1116","74,1706","73,8806","","-0,08%"
"19.02.2021","74,1116","73,9036","74,1953","73,8043","","0,28%"
"18.02.2021","73,9036","73,7194","74,1567","73,5538","","0,25%"
"17.02.2021","73,7194","73,6533","74,1871","73,5556","","0,09%"
"16.02.2021","73,6533","73,3225","73,8965","73,1509","","0,45%"
"15.02.2021","73,3225","73,7114","73,7175","73,1566","","-0,53%"
"12.02.2021","73,7114","73,6155","74,4614","73,5170","","0,13%"
"11.02.2021","73,6155","73,9408","73,9450","73,5357","","-0,44%"
"10.02.2021","73,9408","73,8836","74,0047","73,6327","","0,08%"
"09.02.2021","73,8836","74,3034","74,3034","73,8723","","-0,56%"
"08.02.2021","74,3034","74,6528","74,6528","74,1570","","-0,47%"
"05.02.2021","74,6528","75,5065","75,5065","74,5365","","-1,13%"
"04.02.2021","75,5065","75,9423","76,0430","75,3199","","-0,57%"
"03.02.2021","75,9423","76,2240","76,2821","75,7821","","-0,37%"
"02.02.2021","76,2240","76,1354","76,2261","75,3236","","0,12%"
"01.02.2021","76,1354","75,7404","76,1860","75,3592","","0,52%"
"29.01.2021","75,7404","75,9592","76,3330","75,2508","","-0,29%"
"28.01.2021","75,9592","75,8464","76,4995","75,7025","","0,15%"
"27.01.2021","75,8464","75,0963","75,9664","74,8817","","1,00%"
"26.01.2021","75,0963","75,3460","75,7690","74,9556","","-0,33%"
"25.01.2021","75,3460","75,2899","75,8454","74,6421","","0,07%"
"22.01.2021","75,2899","73,8340","75,3530","73,8340","","1,97%"
"21.01.2021","73,8340","73,5241","74,0539","73,2524","","0,42%"
"20.01.2021","73,5241","73,6709","73,6800","73,2252","","-0,20%"
"19.01.2021","73,6709","74,0232","74,0232","73,6034","","-0,48%"
"18.01.2021","74,0232","73,6309","74,3643","73,6309","","0,53%"
"15.01.2021","73,6309","73,2179","73,8708","73,2100","","0,56%"
